date,material_type,quantity_requested,quantity_sold,average_price,number_of_buyers,number_of_transactions,location
2025-01-01,Aluminum,6442.5,5147.0,177.76,14,17,Bengaluru
2025-01-02,Aluminum,6161.9,4804.9,172.77,17,21,Bengaluru
2025-01-03,Aluminum,6618.6,5442.7,175.25,14,19,Hyderabad
2025-01-04,Aluminum,5159.7,4576.8,172.38,14,16,Delhi
2025-01-05,Aluminum,3771.4,2996.2,186.14,10,12,Chennai
2025-01-06,Aluminum,6124.0,5387.3,183.63,14,18,Surat
2025-01-07,Aluminum,6253.5,4705.9,184.48,18,23,Ahmedabad
2025-01-08,Aluminum,6311.6,5274.5,174.32,14,11,Bengaluru
2025-01-09,Aluminum,6725.2,5152.6,183.58,14,19,Ahmedabad
2025-01-10,Aluminum,6990.3,6519.6,179.22,18,17,Kolkata
2025-01-11,Aluminum,5025.2,4135.9,185.3,15,21,Pune
2025-01-12,Aluminum,4051.5,3123.1,174.9,9,11,Chennai
2025-01-13,Aluminum,5892.7,5320.8,186.88,17,23,Surat
2025-01-14,Aluminum,6204.1,4981.7,182.57,15,15,Pune
2025-01-15,Aluminum,6293.4,5249.1,179.51,18,19,Pune
2025-01-16,Aluminum,6193.9,5127.9,173.07,14,16,Ahmedabad
2025-01-17,Aluminum,6143.1,4703.5,178.91,13,17,Kolkata
2025-01-18,Aluminum,5496.5,4672.5,184.5,15,15,Pune
2025-01-19,Aluminum,3738.7,3103.7,173.42,11,15,Delhi
2025-01-20,Aluminum,6787.3,6344.3,178.93,16,23,Pune
2025-01-21,Aluminum,6898.9,5675.7,174.73,15,14,Kolkata
2025-01-22,Aluminum,6789.6,5741.1,176.16,15,14,Bengaluru
2025-01-23,Aluminum,6925.3,5495.1,182.79,17,22,Chennai
2025-01-24,Aluminum,6725.1,5449.9,185.17,17,16,Delhi
2025-01-25,Aluminum,5119.4,4049.2,174.93,13,19,Chennai
2025-01-26,Aluminum,4192.6,3204.5,179.23,9,12,Bengaluru
2025-01-27,Aluminum,6622.6,5796.4,172.84,15,15,Hyderabad
2025-01-28,Aluminum,6536.2,5049.5,178.14,18,24,Hyderabad
2025-01-29,Aluminum,6781.0,6288.9,178.48,18,15,Mumbai
2025-01-30,Aluminum,6577.8,5444.2,177.79,18,19,Kolkata
2025-01-31,Aluminum,6743.6,6274.8,187.69,15,16,Kolkata
2025-02-01,Aluminum,5677.5,5143.1,175.16,12,12,Hyderabad
2025-02-02,Aluminum,4049.0,3430.7,181.86,10,11,Hyderabad
2025-02-03,Aluminum,6650.3,5905.6,172.42,16,19,Bengaluru
2025-02-04,Aluminum,6790.0,6106.7,173.61,19,17,Bengaluru
2025-02-05,Aluminum,7275.1,6158.5,172.04,18,22,Mumbai
2025-02-06,Aluminum,7118.0,5430.2,187.34,15,16,Bengaluru
2025-02-07,Aluminum,7607.8,6586.8,172.48,19,17,Kolkata
2025-02-08,Aluminum,6021.7,4705.2,179.64,17,16,Chennai
2025-02-09,Aluminum,4353.1,3731.9,179.03,14,19,Delhi
2025-02-10,Aluminum,6616.5,5825.2,186.26,17,18,Ahmedabad
2025-02-11,Aluminum,7277.5,6223.5,184.12,20,25,Surat
2025-02-12,Aluminum,7047.7,5958.2,176.13,19,21,Surat
2025-02-13,Aluminum,6913.5,5263.8,173.9,16,14,Chennai
2025-02-14,Aluminum,7144.2,5515.9,180.83,18,24,Delhi
2025-02-15,Aluminum,6038.1,4958.4,184.28,17,21,Chennai
2025-02-16,Aluminum,4220.6,4005.3,187.04,9,10,Ahmedabad
2025-02-17,Aluminum,6873.9,5445.9,185.41,17,18,Hyderabad
2025-02-18,Aluminum,7374.4,5670.5,178.34,16,15,Ahmedabad
2025-02-19,Aluminum,6974.4,6599.3,177.6,17,19,Bengaluru
2025-02-20,Aluminum,7244.4,6512.5,184.56,15,16,Mumbai
2025-02-21,Aluminum,7101.9,6191.2,174.92,19,22,Chennai
2025-02-22,Aluminum,5768.0,4988.1,187.05,17,24,Surat
2025-02-23,Aluminum,4355.3,3831.2,186.97,10,11,Bengaluru
2025-02-24,Aluminum,6920.3,6155.9,173.05,16,20,Coimbatore
2025-02-25,Aluminum,7828.6,6653.7,178.67,20,21,Bengaluru
