material_type,weight_kg,quality,location,demand_level,historical_price,processing_cost,transportation_distance,month,seller_type,buyer_demand,material_condition,price_per_kg
Copper,254.6,High,Bengaluru,High,654.72,11.63,19.9,12,Individual,0.71,Sorted,880.11
Aluminum,104.8,High,Kolkata,High,184.32,4.58,8.8,10,Individual,0.68,Clean,253.62
Plastic,49.9,Industrial Grade,Bengaluru,Moderate,33.41,5.61,66.3,12,Business,0.83,Baled,40.52
Copper,635.6,High,Pune,High,645.78,2.56,43.4,10,Industrial Recycler,0.39,Mixed,763.38
Textile,30.4,High,Surat,Moderate,26.78,2.6,107.2,4,Industrial Recycler,0.5,Baled,28.84
Copper,121.3,Medium,Ahmedabad,Moderate,634.95,4.11,125.9,11,Industrial Recycler,0.77,Clean,678.03
Copper,201.4,Medium,Bengaluru,Low,664.56,14.86,60.0,8,Individual,0.69,Baled,580.96
Glass,192.1,High,Delhi,High,8.09,13.87,14.6,5,Industrial Recycler,0.8,Contaminated,3.2
Plastic,493.2,Industrial Grade,Bengaluru,Low,35.22,11.68,25.2,5,Municipal Collector,0.82,Mixed,30.64
Textile,248.1,Industrial Grade,Kolkata,High,26.25,2.61,18.2,8,Individual,0.74,Sorted,36.17
Textile,324.5,High,Kolkata,Moderate,25.81,13.19,145.8,5,Municipal Collector,0.8,Mixed,17.67
Cardboard,381.0,Low,Delhi,High,14.84,14.4,70.8,3,Industrial Recycler,0.48,Sorted,7.0
Cardboard,468.8,Medium,Kolkata,High,13.24,6.86,33.8,10,Industrial Recycler,0.97,Baled,12.29
Cardboard,113.5,High,Coimbatore,Moderate,14.74,13.42,139.7,2,Municipal Collector,0.52,Baled,9.12
Aluminum,53.6,Medium,Ahmedabad,High,169.22,8.93,146.8,2,Business,0.76,Baled,197.59
Cardboard,71.4,Medium,Hyderabad,Low,14.48,10.97,114.5,9,Municipal Collector,0.58,Sorted,5.6
Glass,596.4,Industrial Grade,Hyderabad,Moderate,8.07,2.27,14.3,4,Business,0.71,Baled,10.02
Aluminum,361.8,High,Coimbatore,High,184.87,5.09,15.3,6,Business,0.45,Clean,264.7
Steel,37.5,Industrial Grade,Hyderabad,Moderate,41.49,7.6,19.1,2,Municipal Collector,0.63,Contaminated,32.81
Aluminum,563.1,High,Chennai,Moderate,169.64,8.97,32.8,4,Industrial Recycler,0.43,Clean,223.61
E-waste,206.8,Medium,Coimbatore,Moderate,129.0,12.87,149.9,11,Business,0.95,Clean,138.56
Plastic,122.2,Medium,Hyderabad,Moderate,32.21,4.14,135.9,7,Municipal Collector,0.57,Mixed,23.76
E-waste,1766.4,Low,Bengaluru,Low,121.52,14.59,48.0,4,Municipal Collector,0.68,Mixed,76.18
Glass,1294.7,High,Kolkata,Low,7.46,14.49,27.8,9,Municipal Collector,0.43,Clean,3.2
Other,66.3,High,Surat,Moderate,14.0,2.52,88.9,4,Business,0.76,Contaminated,7.5
Other,178.3,Low,Hyderabad,High,14.52,10.73,62.4,5,Industrial Recycler,0.52,Sorted,7.37
Copper,902.3,High,Chennai,Low,695.06,5.45,35.9,9,Business,0.92,Mixed,616.77
Plastic,411.2,Low,Kolkata,High,36.72,14.79,48.9,12,Municipal Collector,0.67,Sorted,27.4
Cardboard,95.9,Low,Chennai,High,13.51,4.02,112.7,2,Industrial Recycler,0.45,Clean,8.83
Glass,672.8,Medium,Mumbai,Low,7.71,7.51,18.4,1,Municipal Collector,0.3,Sorted,4.06
Steel,757.6,Low,Kolkata,Low,39.15,2.13,67.0,12,Municipal Collector,0.92,Contaminated,16.94
Steel,81.6,High,Delhi,Low,44.91,6.74,11.1,3,Individual,0.98,Sorted,45.43
Aluminum,1014.3,Low,Chennai,Low,177.3,13.49,118.1,6,Individual,0.73,Contaminated,76.52
Steel,52.8,Medium,Coimbatore,High,44.9,6.32,111.8,3,Municipal Collector,0.86,Contaminated,30.9
Plastic,206.2,Low,Delhi,Low,36.77,4.89,129.5,1,Business,0.62,Contaminated,14.0
Paper,527.4,Medium,Delhi,High,12.52,2.9,45.4,6,Individual,0.55,Contaminated,7.36
Cardboard,1111.1,Industrial Grade,Chennai,Moderate,13.47,14.51,30.9,5,Business,0.38,Baled,12.21
Textile,644.6,Low,Delhi,Moderate,27.71,2.58,32.6,10,Business,0.66,Sorted,21.35
Cardboard,735.2,Medium,Pune,Moderate,14.49,13.02,50.5,10,Business,0.51,Sorted,9.03
Paper,360.4,Industrial Grade,Kolkata,Moderate,11.77,10.64,32.8,3,Industrial Recycler,0.82,Sorted,11.11
Steel,389.8,Low,Mumbai,Low,42.72,12.21,35.5,5,Business,0.53,Mixed,21.84
E-waste,77.1,Industrial Grade,Bengaluru,Low,122.55,8.7,17.3,11,Municipal Collector,0.53,Contaminated,88.38
Plastic,36.0,Low,Coimbatore,High,36.96,8.18,40.5,1,Individual,0.35,Contaminated,17.63
Textile,375.2,Medium,Hyderabad,Moderate,29.12,2.07,100.1,3,Municipal Collector,0.84,Mixed,24.37
Copper,1210.6,Industrial Grade,Coimbatore,High,645.47,13.03,41.1,9,Municipal Collector,0.86,Contaminated,626.77
Cardboard,724.4,Low,Kolkata,Low,13.94,11.67,135.1,8,Municipal Collector,0.48,Mixed,5.6
