transaction_id,date,material_type,quantity_kg,agreed_price_per_kg,total_amount,status,co2_avoided_kg,landfill_diverted_kg
TX-10000,2026-03-14,Plastic,2781.0,35.9,99837.9,completed,4171.5,2641.95
TX-10001,2026-01-15,Other,1240.9,14.64,18166.78,completed,992.72,1178.86
TX-10002,2025-12-16,Textile,1486.4,30.05,44666.32,completed,4756.48,1412.08
TX-10003,2026-04-06,Cardboard,2971.0,13.97,41504.87,completed,2971.0,2822.45
TX-10004,2026-02-01,Cardboard,1578.7,13.53,21359.81,completed,1578.7,1499.76
TX-10005,2025-08-02,Paper,1640.7,11.61,19048.53,completed,1804.77,1558.66
TX-10006,2025-10-25,Other,1849.2,15.86,29328.31,completed,1479.36,1756.74
TX-10007,2026-01-25,Paper,872.6,12.14,10593.36,completed,959.86,828.97
TX-10008,2025-11-01,Glass,854.4,8.52,7279.49,completed,299.04,811.68
TX-10009,2025-07-03,Textile,229.7,27.63,6346.61,completed,735.04,218.21
TX-10010,2026-03-09,Steel,1452.0,46.24,67140.48,completed,2613.6,1379.4
TX-10011,2026-04-11,Copper,774.8,614.11,475812.43,completed,3486.6,736.06
TX-10012,2025-10-01,Aluminum,1374.1,171.66,235878.01,completed,12504.31,1305.39
TX-10013,2025-09-25,Aluminum,976.7,184.43,180132.78,completed,8887.97,927.87
TX-10014,2026-05-13,Copper,2717.0,670.78,1822509.26,completed,12226.5,2581.15
TX-10015,2026-02-09,Cardboard,1466.9,12.88,18893.67,completed,1466.9,1393.56
TX-10016,2025-06-16,Glass,363.6,8.28,3010.61,completed,127.26,345.42
TX-10017,2026-04-04,Plastic,1902.4,39.1,74383.84,completed,2853.6,1807.28
TX-10018,2026-04-10,E-waste,2794.5,134.4,375580.8,completed,16208.1,2654.78
TX-10019,2026-05-13,Paper,2439.2,12.99,31685.21,completed,2683.12,2317.24
TX-10020,2026-02-02,E-waste,247.8,120.08,29755.82,completed,1437.24,235.41
TX-10021,2026-02-26,E-waste,1262.9,120.09,151661.66,completed,7324.82,1199.76
TX-10022,2026-03-15,Plastic,1207.4,37.74,45567.28,completed,1811.1,1147.03
TX-10023,2025-09-10,Aluminum,470.1,194.38,91378.04,completed,4277.91,446.6
TX-10024,2026-02-20,Other,1293.1,13.88,17948.23,completed,1034.48,1228.44
TX-10025,2025-12-05,Textile,2437.0,27.31,66554.47,completed,7798.4,2315.15
TX-10026,2025-11-08,Aluminum,713.7,176.29,125818.17,pending,6494.67,678.01
TX-10027,2025-10-10,Plastic,2899.1,36.75,106541.93,completed,4348.65,2754.14
TX-10028,2025-07-26,Steel,1975.6,41.83,82639.35,completed,3556.08,1876.82
TX-10029,2026-04-30,Cardboard,142.6,13.09,1866.63,completed,142.6,135.47
TX-10030,2026-04-12,Cardboard,786.1,13.59,10683.1,completed,786.1,746.79
TX-10031,2025-06-05,Cardboard,2755.5,15.09,41580.5,completed,2755.5,2617.72
TX-10032,2025-11-29,Aluminum,776.0,179.47,139268.72,completed,7061.6,737.2
TX-10033,2025-12-22,Glass,1597.7,8.35,13340.8,completed,559.19,1517.82
TX-10034,2025-07-11,Aluminum,1823.3,197.16,359481.83,completed,16592.03,1732.13
TX-10035,2025-08-08,Glass,2428.1,7.38,17919.38,completed,849.83,2306.69
TX-10036,2025-11-08,Copper,1929.9,640.52,1236139.55,completed,8684.55,1833.4
TX-10037,2026-01-23,Steel,1298.3,42.14,54710.36,completed,2336.94,1233.38
TX-10038,2026-02-01,Steel,1374.7,46.34,63703.6,pending,2474.46,1305.96
TX-10039,2025-09-10,Other,2422.8,14.48,35082.14,completed,1938.24,2301.66
TX-10040,2026-04-12,Textile,966.6,26.63,25740.56,completed,3093.12,918.27
TX-10041,2025-10-10,Paper,2399.7,12.11,29060.37,pending,2639.67,2279.71
TX-10042,2025-12-30,Copper,2613.0,691.25,1806236.25,completed,11758.5,2482.35
TX-10043,2025-12-04,Other,206.5,15.04,3105.76,completed,165.2,196.17
TX-10044,2025-07-10,Plastic,1627.2,32.64,53111.81,completed,2440.8,1545.84
TX-10045,2025-10-04,E-waste,2021.7,125.72,254168.12,completed,11725.86,1920.62
TX-10046,2025-09-17,Steel,804.1,47.03,37816.82,completed,1447.38,763.89
TX-10047,2025-10-23,Glass,1317.0,7.46,9824.82,completed,460.95,1251.15
TX-10048,2025-09-21,Aluminum,2294.5,185.1,424711.95,completed,20879.95,2179.78
TX-10049,2026-01-19,Textile,2042.5,28.2,57598.5,completed,6536.0,1940.38
